state,month,handle,sports_books,gross_revenue,adjusted_revenue,gross_win_rate,adjusted_win_rate,mobile_handle_percentage,mobile_handle_dollars,hold,taxes,number_of_regions
Arkansas,2020-02-01,4264366,3,411589,NA,NA,NA,NA,NA,9.65,67554,NA
Arkansas,2020-03-01,1588402,3,222373,NA,NA,NA,NA,NA,14,38310,NA
Arkansas,2020-04-01,0,3,0,NA,NA,NA,NA,NA,0,0,NA
Arkansas,2020-05-01,509,3,NA,NA,NA,NA,NA,NA,-22.59,0,NA
Arkansas,2020-06-01,1189,3,10,NA,NA,NA,NA,NA,0.84,1,NA
Arkansas,2020-07-01,179315,3,NA,NA,NA,NA,NA,NA,-10.95,0,NA
Arkansas,2020-08-01,1008992,3,69625,NA,NA,NA,NA,NA,6.9,9051,NA
Arkansas,2020-09-01,3928748,3,397094,NA,NA,NA,NA,NA,10.11,51623,NA
Arkansas,2020-10-01,6559859,3,940514,NA,NA,NA,NA,NA,14.34,122267,NA
Arkansas,2020-11-01,6288249,3,975984,NA,NA,NA,NA,NA,15.52,126878,NA
Arkansas,2020-12-01,6415446,3,1054272,NA,NA,NA,NA,NA,16.43,137055,NA
Arkansas,2021-01-01,7187194,3,1388258,NA,NA,NA,NA,NA,19.32,180474,NA
Arkansas,2021-02-01,4469442,3,655356,NA,NA,NA,NA,NA,14.66,92923,NA
Arkansas,2021-03-01,5947426,3,807091,NA,NA,NA,NA,NA,13.58,130877,NA
Arkansas,2021-04-01,4065703,3,761536,NA,NA,NA,NA,NA,18.73,131137,NA
Arkansas,2021-05-01,3687207,3,508325,NA,NA,NA,NA,NA,13.79,81710,NA
Arkansas,2021-06-01,3895683,3,359000,NA,NA,NA,NA,NA,9.22,59088,NA
Arkansas,2021-07-01,2908833,3,449040,NA,NA,NA,NA,NA,15.44,58375,NA
Arkansas,2021-08-01,2892285,3,310481,NA,NA,NA,NA,NA,10.73,40362,NA
Arkansas,2021-09-01,7007774,3,809404,NA,NA,NA,NA,NA,11.55,105223,NA
Arkansas,2021-10-01,9506183,3,803568,NA,NA,NA,NA,NA,8.45,104463,NA
Arkansas,2021-11-01,8380191,3,1623435,NA,NA,NA,NA,NA,19.37,211046,NA
Arkansas,2021-12-01,7794292,3,47600,NA,NA,NA,NA,NA,0.61,26988,NA
Arkansas,2022-01-01,8775932,3,1181336,NA,NA,NA,NA,NA,13.46,153574,NA
Arkansas,2022-02-01,5876444,3,331001,NA,NA,NA,NA,NA,5.63,61390,NA
Arkansas,2022-03-01,10686501,3 (1 Mobile),791848,NA,NA,NA,NA,NA,7.41,119671,NA
Arkansas,2022-04-01,8598225,3 (1 Mobile),749811,NA,NA,NA,NA,NA,8.72,120297,NA
Arkansas,2022-05-01,9410678,3 (1 Mobile),509924,NA,NA,NA,NA,NA,5.42,137860,NA
Arkansas,2022-06-01,12632207,3 (2 Mobile),4044,NA,NA,NA,NA,NA,0.03,47903,NA
Arkansas,2022-07-01,8690467,3 (2 Mobile),854435,NA,NA,NA,NA,NA,9.83,85172,NA
Arkansas,2022-08-01,10195910,3 (2 Mobile),1015340,NA,NA,NA,NA,NA,9.96,94992,NA
Arkansas,2022-09-01,21185546,3 (3 Mobile),3208032,NA,NA,NA,NA,NA,15.14,416974,NA
Arkansas,2022-10-01,26879107,3 (3 Mobile),2793719,NA,NA,NA,NA,NA,10.39,363183,NA
Arkansas,2022-11-01,30576009,3 (3 Mobile),2999450,NA,NA,NA,NA,NA,9.81,389929,NA
Arkansas,2022-12-01,30936485,3 (3 Mobile),3409982,NA,NA,NA,NA,NA,11.02,505418,NA
Arkansas,2023-01-01,32976264,3 (3 Mobile),2868243,NA,NA,NA,NA,NA,8.7,439379,NA
Arkansas,2023-02-01,29532263,3 (3 Mobile),1709714,NA,NA,NA,NA,NA,5.79,254925,NA
Arkansas,2023-03-01,37519413,3 (3 Mobile),4264047,NA,NA,NA,NA,NA,11.36,626042,NA
Arkansas,2023-04-01,25452660,3 (3 Mobile),2336022,NA,NA,NA,NA,NA,9.18,349633,NA
Arkansas,2023-05-01,22777209,3 (3 Mobile),2293280,NA,NA,NA,NA,NA,10.07,458656,NA
Arkansas,2023-06-01,22708945,3 (3 Mobile),1334972,NA,NA,NA,NA,NA,5.88,266995,NA
Arkansas,2023-07-01,17577627,3 (3 Mobile),2077422,NA,NA,NA,NA,NA,11.82,270065,NA
Arkansas,2023-08-01,22553214,3 (3 Mobile),1673539,NA,NA,NA,NA,NA,7.42,217560,NA
Arkansas,2023-09-01,41002256,3 (3 Mobile),4026262,NA,NA,NA,NA,NA,9.82,523413,NA
Arkansas,2023-10-01,44986803,3 (3 Mobile),5825160,NA,NA,NA,NA,NA,12.95,757271,NA
Arkansas,2023-11-01,54770449,3 (3 Mobile),3018846,NA,NA,NA,NA,NA,5.51,392450,NA
Arkansas,2023-12-01,52952226,3 (3 Mobile),5762757,NA,NA,NA,NA,NA,10.88,783089,NA
Arkansas,2024-01-01,50698701,3 (3 Mobile),5855922,NA,NA,NA,NA,NA,11.55,894654,NA
Arkansas,2024-02-01,40947811,3 (3 Mobile),2672210,NA,NA,NA,NA,NA,6.53,413682,NA
Arkansas,2024-03-01,50031697,3 (3 Mobile),3406449,NA,NA,NA,NA,NA,6.81,510490,NA
Arkansas,2024-04-01,41763742,3 (3 Mobile),3788711,NA,NA,NA,NA,NA,9.07,568356,NA
Arkansas,2024-05-01,39823868,3 (3 Mobile),3556977,NA,NA,NA,NA,NA,8.93,700934,NA
Arkansas,2024-06-01,31416491,3 (3 Mobile),3227769,NA,NA,NA,NA,NA,10.27,645554,NA
Arkansas,2024-07-01,25464079,3 (3 Mobile),2677226,NA,NA,NA,NA,NA,10.51,348039,NA
Arkansas,2024-08-01,32207497,3 (3 Mobile),1941927,NA,NA,NA,NA,NA,6.03,252451,NA
Arkansas,2024-09-01,53056637,3 (3 Mobile),6918341,NA,NA,NA,NA,NA,13.04,899384,NA
Arkansas,2024-10-01,60435368,3 (3 Mobile),3150162,NA,NA,NA,NA,NA,5.2,409521,NA
Arkansas,2024-11-01,66058203,3 (3 Mobile),9201130,NA,NA,NA,NA,NA,13.9,1196147,NA
Arkansas,2024-12-01,66015968,3 (3 Mobile),1804605,NA,NA,NA,NA,NA,2.7,251460,NA
Arkansas,2025-01-01,62347910,3 (3 Mobile),6931367,NA,NA,NA,NA,NA,11.12,1023821,NA
Arkansas,2025-02-01,46305952,3 (3 Mobile),4386890,NA,NA,NA,NA,NA,9.47,656426,NA
Arkansas,2025-03-01,65593042,3 (3 Mobile),1703065,NA,NA,NA,NA,NA,2.6,248846,NA
Arkansas,2025-04-01,48687247,3 (3 Mobile),4542660,NA,NA,NA,NA,NA,9.33,829731,NA
Arkansas,2025-05-01,47308479,3 (3 Mobile),4706466,NA,NA,NA,NA,NA,9.95,941293,NA
Arkansas,2025-06-01,37466071,3 (3 Mobile),4888919,NA,NA,NA,NA,NA,13.05,977784,NA
Arkansas,2025-07-01,29432610,3 (3 Mobile),3427539,NA,NA,NA,NA,NA,11.65,445580,NA
Colorado,2020-05-01,25621761,0 (6),2567290,946101,10.01,3.7,3.7,NA,NA,96538,NA
Colorado,2020-06-01,38136649,1 (7),3484014,2169978,9.14,5.69,5.69,NA,NA,217023,NA
Colorado,2020-07-01,59183620,7 (9),5196599,2417311,8.78,4.08,4.08,NA,NA,241867,NA
Colorado,2020-08-01,128646209,9 (10),7519599,1877911,5.85,1.46,1.46,NA,NA,189462,NA
Colorado,2020-09-01,207655943,12 (14),4166334,NA,2.01,-1.63,-1.63,NA,NA,69772,NA
Colorado,2020-10-01,210719821,13 (15),17402409,9642956,8.26,4.58,4.58,NA,NA,824700,NA
Colorado,2020-11-01,231238842,13 (16),18354655,8977427,7.94,3.88,3.88,NA,NA,793820,NA
Colorado,2020-12-01,284551472,13 (17),17151867,5676627,6.03,2,2,NA,NA,531490,NA
Colorado,2021-01-01,326903462,16 (17),23144505,11730509,7.08,3.59,3.59,NA,NA,1195744,NA
Colorado,2021-02-01,266549207,16 (18),10444810,175275,3.92,0.07,0.07,NA,NA,332227,NA
Colorado,2021-03-01,300990840,16 (20),20365119,10632015,6.77,3.53,3.53,NA,NA,1060854,NA
Colorado,2021-04-01,244446740,16 (20),17563939,10540337,7.19,4.31,4.31,NA,NA,1082611,NA
Colorado,2021-05-01,248968193,17 (21),15154761,5911265,6.09,2.37,2.37,NA,NA,635641,NA
Colorado,2021-06-01,229764688,17 (21),19730957,11703974,8.59,5.09,5.09,NA,NA,1186455,NA
Colorado,2021-07-01,181327995,17 (21),15652461,9598984,8.63,5.29,5.29,NA,NA,999111,NA
Colorado,2021-08-01,211918185,17 (21),15228343,7086529,7.19,3.34,3.34,NA,NA,726366,NA
Colorado,2021-09-01,408314625,17 (21),22658630,1816580,5.55,0.44,0.44,NA,NA,483048,NA
Colorado,2021-10-01,491453342,17 (25),28616708,9785717,5.82,1.99,1.99,NA,NA,1246804,NA
Colorado,2021-11-01,475441222,17 (25),36781848,19171547,7.74,4.03,4.03,NA,NA,1981640,NA
Colorado,2021-12-01,461448574,17 (25),24732487,5253600,5.36,1.14,1.14,NA,NA,770370,NA
Colorado,2022-01-01,573720213,17 (25),34640219,11692221,6.04,2.04,2.04,NA,NA,1447952,NA
Colorado,2022-02-01,440508421,17 (25),19604490,NA,4.45,-0.25,-0.25,NA,NA,314731,NA
Colorado,2022-03-01,505611080,17 (25),28238194,13046305,5.58,2.58,2.58,NA,NA,1313076,NA
Colorado,2022-04-01,392311737,17 (25),22571887,11528793,5.75,2.94,2.94,NA,NA,1231742,NA
Colorado,2022-05-01,360325438,17 (25),27119329,16573823,7.53,4.6,4.6,NA,NA,1659189,NA
Colorado,2022-06-01,313215081,17 (25),6781092,NA,2.16,-0.61,-0.61,NA,NA,286280,NA
Colorado,2022-07-01,258414807,17 (25),20802881,14219193,8.05,5.5,5.5,NA,NA,1092182,NA
Colorado,2022-08-01,290107970,17 (25),25859270,21958556,8.91,7.57,7.57,NA,NA,1822104,NA
Colorado,2022-09-01,450232597,17 (25),51339659,31670834,11.4,7.03,7.03,NA,NA,2989342,NA
Colorado,2022-10-01,526619777,17 (25),36514974,21079706,6.93,4,4,NA,NA,2330705,NA
Colorado,2022-11-01,552603013,17 (25),37569022,24356217,6.8,4.41,4.41,NA,NA,2581533,NA
Colorado,2022-12-01,518088768,17 (25),40909238,25845000,7.9,4.99,4.99,NA,NA,2583711,NA
Colorado,2023-01-01,547189025,17 (25),35482562,22494859,6.48,4.11,4.11,NA,NA,2586457,NA
Colorado,2023-02-01,425142877,17 (25),22599602,11971619,5.32,2.82,2.82,NA,NA,1257332,NA
Colorado,2023-03-01,494440210,17 (25),45935669,35416031,9.29,7.16,7.16,NA,NA,3103024,NA
Colorado,2023-04-01,417814147,17 (25),35148592,25855745,8.41,6.19,6.19,NA,NA,2582615,NA
Colorado,2023-05-01,385242136,17 (25),31406903,22022429,8.15,5.72,5.72,NA,NA,2218084,NA
Colorado,2023-06-01,310656478,17 (25),9223661,1974031,2.97,0.64,0.64,NA,NA,441951,NA
Colorado,2023-07-01,281110490,17 (25),24962106,19075871,8.88,6.79,6.79,NA,NA,1778767,NA
Colorado,2023-08-01,306065791,17 (25),25873058,18683392,8.45,6.1,6.1,NA,NA,1806025,NA
Colorado,2023-09-01,512792794,17 (25),45276417,32488916,8.83,6.34,6.34,NA,NA,3126136,NA
Colorado,2023-10-01,554859801,17 (25),46914492,33069671,8.46,5.96,5.96,NA,NA,3351482,NA
Colorado,2023-11-01,608488266,17 (25),28585606,13961204,4.7,2.29,2.29,NA,NA,1489224,NA
Colorado,2023-12-01,716430270,17 (25),40537499,25068033,5.66,3.5,3.5,NA,NA,3682335,NA
Colorado,2024-01-01,596685968,17 (25),53490323,38549635,8.96,6.46,6.46,NA,NA,4128369,NA
Colorado,2024-02-01,536988261,17 (25),25762378,11662122,4.8,2.17,2.17,NA,NA,1302169,NA
Colorado,2024-03-01,593094977,17 (25),45041776,31578576,7.59,5.32,5.32,NA,NA,2852592,NA
Colorado,2024-04-01,509508228,17 (25),32028036,19278372,6.29,3.78,3.78,NA,NA,1910656,NA
Colorado,2024-05-01,447561934,17 (25),44991355,33541925,10.05,7.49,7.49,NA,NA,3206326,NA
Colorado,2024-06-01,350425610,17 (25),28196297,19171641,8.05,5.47,5.47,NA,NA,1816861,NA
Colorado,2024-07-01,320396841,17 (25),32548659,24986947,10.16,7.8,7.8,NA,NA,2369730,NA
Colorado,2024-08-01,372378664,12 (17),33202184,24481257,8.92,6.57,6.57,NA,NA,2375443,NA
Colorado,2024-09-01,562923090,12 (16),55092144,41571319,9.79,7.38,7.38,NA,NA,4049802,NA
Colorado,2024-10-01,601222031,12 (16),39328305,25103293,6.54,4.17,4.17,NA,NA,2474941,NA
Colorado,2024-11-01,647951807,12 (16),55666475,40557004,8.59,6.25,6.25,NA,NA,3958611,NA
Colorado,2024-12-01,648426634,12 (16),29828799,14522496,4.6,2.24,2.24,NA,NA,1488607,NA
Colorado,2025-01-01,657182798,12 (16),60909819,45431065,9.27,6.91,6.91,NA,NA,4443574,NA
Colorado,2025-02-01,496628781,12(16),46377521,34520703,9.34,6.95,6.95,NA,NA,3432766,NA
Colorado,2025-03-01,618044247,12(16),36247841,21901312,5.86,3.54,3.54,NA,NA,2157555,NA
Colorado,2025-04-01,507860831,12(16),47275156,34994719,9.31,6.89,6.89,NA,NA,3402122,NA
Colorado,2025-05-01,495332856,12(16),49043013,37875709,9.9,7.65,7.65,NA,NA,3687198,NA
Colorado,2025-06-01,372493465,12(16),39848630,31111086,10.7,8.35,8.35,NA,NA,3079722,NA
Colorado,2025-07-01,352309841,12(16),35533248,28084134,10.09,7.97,7.97,NA,NA,2715532,NA
Connecticut,2021-10-01,54641474,NA,5567547,3730554,10.2,6.83,6.83,NA,NA,512951,NA
Connecticut,2021-11-01,131729179,NA,17456823,12451897,13.3,9.45,9.45,NA,NA,1712136,NA
Connecticut,2021-12-01,150073755,NA,10242899,6945825,6.8,4.5,4.5,NA,NA,929336,NA
Connecticut,2022-01-01,158092481,NA,11891808,8309167,7.5,5.26,5.26,NA,NA,1142510,NA
Connecticut,2022-02-01,115619953,NA,5844220,3647385,5.1,3.15,3.15,NA,NA,501616,NA
Connecticut,2022-03-01,140747137,NA,11511388,7545967,8.2,5.36,5.36,NA,NA,1057570,NA
Connecticut,2022-04-01,116465199,NA,10353842,7187371,8.9,6.17,6.17,NA,NA,988263,NA
Connecticut,2022-05-01,115180155,NA,10308064,7136757,8.9,6.2,6.2,NA,NA,980494,NA
Connecticut,2022-06-01,95421852,NA,7142610,4868746,7.5,5.1,5.1,NA,NA,669453,NA
Connecticut,2022-07-01,78316775,NA,8611816,6247888,11,7.98,7.98,NA,NA,859094,NA
Connecticut,2022-08-01,80037045,NA,10882317,8386361,13.6,10.48,10.48,NA,NA,1153125,NA
Connecticut,2022-09-01,130547719,NA,17608762,12926483,13.5,9.9,9.9,NA,NA,1777391,NA
Connecticut,2022-10-01,164170106,NA,17012667,12628897,10.4,7.69,7.69,NA,NA,1736473,NA
Connecticut,2022-11-01,165026282,NA,17869847,14126454,10.8,8.56,8.56,NA,NA,1942387,NA
Connecticut,2022-12-01,160266050,NA,16268906,12625502,10.2,7.88,7.88,NA,NA,1735979,NA
Connecticut,2023-01-01,167673044,NA,19610098,13958469,11.7,8.32,8.32,NA,NA,1919290,NA
Connecticut,2023-02-01,136508300,NA,11626147,8550500,8.5,6.26,6.26,NA,NA,1175694,NA
Connecticut,2023-03-01,159997579,NA,17029646,13496875,10.6,8.44,8.44,NA,NA,1855821,NA
Connecticut,2023-04-01,126683869,NA,13610074,10608950,10.7,8.37,8.37,NA,NA,1458730,NA
Connecticut,2023-05-01,109421369,NA,15271178,11966495,14,10.94,10.94,NA,NA,1645394,NA
Connecticut,2023-06-01,91414677,NA,9752058,6993293,10.7,7.65,7.65,NA,NA,961577,NA
Connecticut,2023-07-01,91512897,NA,11126316,8838636,12.2,9.66,9.66,NA,NA,1215353,NA
Connecticut,2023-08-01,91316807,NA,9797155,7470338,10.7,8.18,8.18,NA,NA,1027171,NA
Connecticut,2023-09-01,180954946,NA,18900892,14899707,10.4,8.23,8.23,NA,NA,2048710,NA
Connecticut,2023-10-01,189626160,NA,19849187,16313761,10.5,8.6,8.6,NA,NA,2243142,NA
Connecticut,2023-11-01,205736989,NA,12862839,10299870,6.3,5.01,5.01,NA,NA,1416953,NA
Connecticut,2023-12-01,212171045,NA,22813764,18689499,10.8,8.81,8.81,NA,NA,2569806,NA
Connecticut,2024-01-01,202752249,NA,25570170,20833170,12.6,10.28,10.28,NA,NA,2864562,NA
Connecticut,2024-02-01,162841632,NA,14820348,11626745,9.1,7.14,7.14,NA,NA,1598679,NA
Connecticut,2024-03-01,187815980,NA,16981438,13652854,9,7.27,7.27,NA,NA,1892701,NA
Connecticut,2024-04-01,154109876,NA,19105482,15219598,12.4,9.71,9.71,NA,NA,2092694,NA
Connecticut,2024-05-01,163648829,NA,17941322,14355969,11,8.77,8.77,NA,NA,1973947,NA
Connecticut,2024-06-01,148557056,NA,15626345,12332232,10.5,8.3,8.3,NA,NA,1695681,NA
Connecticut,2024-07-01,121808571,NA,15853217,12716078,13,10.44,10.44,NA,NA,1748461,NA
Connecticut,2024-08-01,129150001,NA,14514077,11473159,11.2,8.88,8.88,NA,NA,1577559,NA
Connecticut,2024-09-01,214394512,NA,27018896,22345774,12.6,10.42,10.42,NA,NA,3072543,NA
Connecticut,2024-10-01,229151493,NA,19101389,15370446,8.3,6.71,6.71,NA,NA,2113436,NA
Connecticut,2024-11-01,228155465,NA,30693791,25521123,13.5,11.19,11.19,NA,NA,3509155,NA
Connecticut,2024-12-01,232974377,NA,14773557,11768891,6.34,5.05,5.05,NA,NA,1622646,NA
Connecticut,2025-01-01,229341717,NA,27646389,22514600,12.05,9.82,9.82,NA,NA,3095758,NA
Connecticut,2025-02-01,169389080,NA,20787142,17067160,12.27,10.08,10.08,NA,NA,2346734,NA
Connecticut,2025-03-01,207660971,NA,16887263,13624308,8.13,6.56,6.56,NA,NA,1873342,NA
Connecticut,2025-04-01,181821330,NA,19320106,15506373,10.63,8.53,8.53,NA,NA,2132126,NA
Connecticut,2025-05-01,183947658,NA,23194744,18770502,12.61,10.2,10.2,NA,NA,2580944,NA
Connecticut,2026-06-01,140533729,NA,18387003,14986082,13.08,10.66,10.66,NA,NA,2063288,NA
Connecticut,2025-07-01,123505445,NA,16404168,13323763,13.28,10.79,10.79,NA,NA,1832016,NA
Delaware,2018-06-01,7003725,3 (0 Mobile),1000247,875216,14.28,12.5,12.5,NA,NA,437069,NA
Delaware,2018-07-01,8214765,3 (0 Mobile),527140,461247,6.42,5.61,5.61,NA,NA,230614,NA
Delaware,2018-08-01,8018354,3 (0 Mobile),983051,822736,12.26,10.26,10.26,NA,NA,457984,NA
Delaware,2018-09-01,23257965,3 (0 Mobile),7807511,5971960,33.57,25.68,25.68,NA,NA,4118974,NA
Delaware,2018-10-01,21231427,3 (0 Mobile),2565956,1640592,12.09,7.73,7.73,NA,NA,1299481,NA
Delaware,2018-11-01,24206090,3 (0 Mobile),2505849,1608339,10.35,6.64,6.64,NA,NA,998477,NA
Delaware,2018-12-01,23419539,3 (0 Mobile),5810006,4272220,24.81,18.24,18.24,NA,NA,2989388,NA
Delaware,2019-01-01,14130069,3 (0 Mobile),2687370,2094840,19.02,14.83,14.83,NA,NA,1311323,NA
Delaware,2019-02-01,8709205,3 (0 Mobile),NA,NA,-7.08,-5.46,-5.46,NA,NA,0,NA
Delaware,2019-03-01,10483128,3 (0 Mobile),1879046,1643044,17.92,15.67,15.67,NA,NA,821072,NA
Delaware,2019-04-01,6088183,3 (0 Mobile),703739,614839,11.56,10.1,10.1,NA,NA,307046,NA
Delaware,2019-05-01,5920766,3 (0 Mobile),464333,405293,NA,6.85,6.85,NA,NA,202247,NA
Delaware,2019-06-01,6325464,3 (0 Mobile),533378,466019,8.43,7.37,7.37,NA,NA,222733,NA
Delaware,2019-07-01,3920974,3 (0 Mobile),579897,507199,14.79,12.94,12.94,NA,NA,253516,NA
Delaware,2019-08-01,4745747,3 (0 Mobile),586057,493106,12.35,10.39,10.39,NA,NA,241770,NA
Delaware,2019-09-01,18781406,3 (0 Mobile),5979896,4425641,31.84,23.56,23.56,NA,NA,3123828,NA
Delaware,2019-10-01,16066023,3 (0 Mobile),4640776,3388776,28.89,21.09,21.09,NA,NA,2358625,NA
Delaware,2019-11-01,16850854,3 (0 Mobile),4235147,3014647,25.13,17.89,17.89,NA,NA,2167507,NA
Delaware,2019-12-01,20466561,3 (0 Mobile),4174861,2972117,20.4,14.52,14.52,NA,NA,2032440,NA
Delaware,2020-01-01,11187011,3 (0 Mobile),2527313,1995975,22.59,17.84,17.84,NA,NA,1190481,NA
Delaware,2020-02-01,7279650,3 (0 Mobile),NA,NA,-5.64,-4.16,-4.16,NA,NA,0,NA
Delaware,2020-03-01,3877068,3 (0 Mobile),653127,570442,16.85,14.71,14.71,NA,NA,284802,NA
Delaware,2020-04-01,0,3 (0 Mobile),0,NA,0,0,0,NA,NA,0,NA
Delaware,2020-05-01,0,3 (0 Mobile),0,NA,0,0,0,NA,NA,0,NA
Delaware,2020-06-01,0,3 (0 Mobile),0,NA,0,0,0,NA,NA,0,NA
Delaware,2020-07-01,209282,2 (0 Mobile),13845,11862,6.62,5.67,5.67,NA,NA,5831,NA
Delaware,2020-08-01,2957634,2 (0 Mobile),419561,366323,14.19,12.39,12.39,NA,NA,182844,NA
Delaware,2020-09-01,12439302,3 (0 Mobile),2803023,1958567,22.53,15.74,15.74,NA,NA,1402669,NA
Delaware,2020-10-01,17086034,3 (0 Mobile),4945187,3483045,28.94,20.39,20.39,NA,NA,2534638,NA
Delaware,2020-11-01,19510093,3 (0 Mobile),8162861,5901514,41.84,30.25,30.25,NA,NA,4437584,NA
