Month,Handle,Revenue,Hold,Taxes,State
July 2020,"$179,315","-$19,633",-10.9%,"-$2,552",Arkansas
August 2020,"$1,008,992","$69,625",6.9%,"$9,051",Arkansas
September 2020,"$3,958,748","$397,095",10.0%,"$51,622",Arkansas
October 2020,"$6,559,859","$940,513",14.3%,"$122,267",Arkansas
November 2020,"$6,288,249","$975,984",15.5%,"$126,878",Arkansas
December 2020,"$6,415,446","$1,054,273",16.4%,"$137,055",Arkansas
January 2021,"$7,187,194","$1,383,240",19.2%,"$180,474",Arkansas
February 2021,"$4,469,442","$651,239",14.6%,"$92,922",Arkansas
March 2021,"$5,947,427","$805,182",13.5%,"$130,877",Arkansas
April 2021,"$4,065,703","$756,328",18.6%,"$131,137",Arkansas
May 2021,"$3,687,207","$506,142",13.7%,"$81,710",Arkansas
June 2021,"$3,895,683","$382,940",9.8%,"$59,088",Arkansas
July 2021,"$2,908,833","$449,040",15.4%,"$58,375",Arkansas
August 2021,"$2,892,285","$310,481",10.7%,"$40,363",Arkansas
September 2021,"$7,007,774","$809,404",11.6%,"$105,223",Arkansas
October 2021,"$9,506,183","$803,567",8.5%,"$104,464",Arkansas
November 2021,"$8,380,191","$1,623,434",19.4%,"$211,047",Arkansas
December 2021,"$7,794,292","$130,305",1.7%,"$6,188",Arkansas
January 2022,"$8,775,932","$1,181,335",13.5%,"$153,574",Arkansas
February 2022,"$5,876,444","$359,103",6.1%,"$61,390",Arkansas
March 2022,"$10,686,501","$791,867",7.4%,"$119,671",Arkansas
April 2022,"$8,598,226","$749,810",8.7%,"$120,297",Arkansas
May 2022,"$10,185,647","$615,576",6.0%,"$117,426",Arkansas
June 2022,"$12,632,207","$4,045",0.0%,"$12,598",Arkansas
July 2022,"$9,290,467","$854,436",9.2%,"$111,077",Arkansas
August 2022,"$10,195,911","$1,015,339",10.0%,"$131,994",Arkansas
September 2022,"$21,185,547","$3,208,032",15.1%,"$417,044",Arkansas
October 2022,"$26,879,107","$2,793,719",10.4%,"$363,183",Arkansas
November 2022,"$30,576,009","$2,999,450",9.8%,"$452,393",Arkansas
December 2022,"$30,936,485","$3,409,972",11.0%,"$449,690",Arkansas
January 2023,"$32,976,264","$2,868,244",8.7%,"$439,379",Arkansas
February 2023,"$29,532,263","$1,709,714",5.8%,"$254,925",Arkansas
March 2023,"$37,474,412","$4,264,047",11.4%,"$626,042",Arkansas
April 2023,"$25,452,659","$2,336,023",9.2%,"$349,633",Arkansas
May 2023,"$22,777,209","$2,293,281",10.1%,"$458,656",Arkansas
June 2023,"$22,708,945","$1,334,973",5.9%,"$266,995",Arkansas
July 2023,"$17,577,626","$2,077,422",11.8%,"$270,065",Arkansas
August 2023,"$22,553,214","$1,673,538",7.4%,"$217,560",Arkansas
September 2023,"$41,002,257","$3,992,930",9.7%,"$519,081",Arkansas
October 2023,"$44,986,803","$5,825,161",12.9%,"$757,271",Arkansas
November 2023,"$54,770,449","$3,018,845",5.5%,"$392,450",Arkansas
December 2023,"$52,952,226","$5,762,757",10.9%,"$783,089",Arkansas
January 2024,"$50,698,701","$5,855,921",11.6%,"$894,654",Arkansas
February 2024,"$40,947,811","$2,672,209",6.5%,"$413,682",Arkansas
March 2024,"$50,031,696","$3,406,749",6.8%,"$510,490",Arkansas
April 2024,"$41,763,742","$3,788,712",9.1%,"$568,356",Arkansas
May 2024,"$39,823,867","$3,556,977",8.9%,"$700,934",Arkansas
June 2024,"$31,416,492","$3,227,769",10.3%,"$645,554",Arkansas
July 2024,"$25,464,080","$2,677,225",10.5%,"$348,039",Arkansas
August 2024,"$32,207,497","$1,941,927",6.0%,"$252,451",Arkansas
September 2024,"$53,056,638","$6,918,341",13.0%,"$899,384",Arkansas
October 2024,"$60,435,368","$3,150,162",5.2%,"$409,521",Arkansas
November 2024,"$66,058,203","$9,201,130",13.9%,"$1,196,147",Arkansas
December 2024,"$65,930,594","$2,008,583",3.0%,"$277,977",Arkansas
January 2025,"$62,347,910","$6,931,367",11.1%,"$1,023,821",Arkansas
February 2025,"$46,305,952","$4,386,890",9.5%,"$656,426",Arkansas
March 2025,"$65,593,042","$1,703,065",2.6%,"$248,846",Arkansas
April 2025,"$48,687,247","$4,542,660",9.3%,"$829,731",Arkansas
May 2025,"$47,308,479","$4,706,466",9.9%,"$941,293",Arkansas
June 2025,"$37,466,071","$4,888,919",13.0%,"$977,784",Arkansas
July 2025,"$29,432,610","$3,427,539",11.6%,"$445,580",Arkansas
Total,"$1,597,458,844","$148,385,714",9.3%,"$22,045,028",Arkansas
May 2020,"$25,621,762","$2,565,729",10.0%,"$96,545",Colorado
June 2020,"$38,136,949","$3,484,015",9.1%,"$217,945",Colorado
July 2020,"$59,183,620","$5,196,599",8.8%,"$239,153",Colorado
August 2020,"$128,646,209","$7,519,599",5.8%,"$189,326",Colorado
September 2020,"$207,655,943","$4,166,334",2.0%,"$69,772",Colorado
October 2020,"$210,719,821","$17,402,409",8.3%,"$806,618",Colorado
November 2020,"$231,238,842","$18,354,655",7.9%,"$780,635",Colorado
December 2020,"$284,551,472","$17,151,867",6.0%,"$531,495",Colorado
January 2021,"$326,903,462","$23,144,535",7.1%,"$1,194,690",Colorado
February 2021,"$266,549,207","$10,444,810",3.9%,"$333,976",Colorado
March 2021,"$300,990,842","$20,365,119",6.8%,"$1,061,008",Colorado
April 2021,"$244,446,760","$17,563,939",7.2%,"$1,083,812",Colorado
May 2021,"$248,968,193","$15,129,108",6.1%,"$633,896",Colorado
June 2021,"$229,764,688","$19,730,957",8.6%,"$1,186,455",Colorado
July 2021,"$181,327,995","$15,652,461",8.6%,"$999,111",Colorado
August 2021,"$211,918,185","$15,228,343",7.2%,"$728,518",Colorado
September 2021,"$408,314,625","$22,658,630",5.5%,"$483,048",Colorado
October 2021,"$491,453,342","$28,616,708",5.8%,"$1,246,804",Colorado
November 2021,"$475,441,229","$36,781,848",7.7%,"$1,981,640",Colorado
December 2021,"$461,448,574","$24,732,487",5.4%,"$770,561",Colorado
January 2022,"$573,720,213","$34,640,219",6.0%,"$1,447,952",Colorado
February 2022,"$440,508,421","$19,604,490",4.5%,"$314,731",Colorado
March 2022,"$505,611,080","$28,238,194",5.6%,"$1,313,076",Colorado
April 2022,"$392,311,737","$22,571,887",5.8%,"$1,231,742",Colorado
May 2022,"$360,325,438","$27,119,329",7.5%,"$1,659,189",Colorado
June 2022,"$313,215,081","$6,781,092",2.2%,"$268,280",Colorado
July 2022,"$258,414,808","$20,802,881",8.1%,"$1,092,182",Colorado
August 2022,"$290,107,970","$25,859,270",8.9%,"$1,822,272",Colorado
September 2022,"$450,232,597","$51,339,659",11.4%,"$2,989,342",Colorado
October 2022,"$526,619,777","$36,514,974",6.9%,"$2,330,705",Colorado
November 2022,"$552,603,013","$37,569,022",6.8%,"$2,581,533",Colorado
December 2022,"$518,088,768","$40,909,238",7.9%,"$2,583,711",Colorado
January 2023,"$547,189,025","$35,482,562",6.5%,"$2,586,457",Colorado
February 2023,"$425,142,877","$22,599,602",5.3%,"$1,257,332",Colorado
March 2023,"$494,440,210","$45,935,669",9.3%,"$3,103,024",Colorado
April 2023,"$417,814,147","$35,148,592",8.4%,"$2,582,615",Colorado
May 2023,"$385,242,136","$31,406,903",8.2%,"$2,218,084",Colorado
June 2023,"$310,656,478","$9,223,661",3.0%,"$441,951",Colorado
July 2023,"$281,110,490","$24,962,106",8.9%,"$1,778,773",Colorado
August 2023,"$306,065,791","$25,873,058",8.5%,"$1,806,025",Colorado
September 2023,"$512,792,794","$45,276,517",8.8%,"$3,126,136",Colorado
October 2023,"$554,859,801","$46,914,492",8.5%,"$3,351,482",Colorado
November 2023,"$608,488,266","$28,585,606",4.7%,"$1,489,224",Colorado
December 2023,"$716,430,270","$40,537,499",5.7%,"$3,682,335",Colorado
January 2024,"$596,685,968","$53,490,323",9.0%,"$4,128,369",Colorado
February 2024,"$536,988,261","$25,762,378",4.8%,"$1,302,174",Colorado
March 2024,"$593,094,977","$45,041,776",7.6%,"$2,852,592",Colorado
April 2024,"$509,508,228","$32,028,036",6.3%,"$1,910,656",Colorado
May 2024,"$447,561,934","$44,991,355",10.1%,"$3,206,326",Colorado
June 2024,"$350,425,610","$28,196,297",8.0%,"$1,816,861",Colorado
July 2024,"$320,396,841","$32,548,659",10.2%,"$2,369,730",Colorado
August 2024,"$372,378,664","$33,202,184",8.9%,"$2,375,443",Colorado
September 2024,"$562,923,090","$55,092,144",9.8%,"$4,049,802",Colorado
October 2024,"$601,222,031","$39,328,305",6.5%,"$2,474,941",Colorado
November 2024,"$647,951,807","$55,666,475",8.6%,"$3,958,611",Colorado
December 2024,"$648,426,634","$29,828,799",4.6%,"$1,488,607",Colorado
January 2025,"$657,182,798","$60,909,819",9.3%,"$4,443,574",Colorado
February 2025,"$496,628,781","$46,377,521",9.3%,"$3,431,766",Colorado
March 2025,"$618,044,247","$37,247,841",6.0%,"$2,217,394",Colorado
April 2025,"$507,860,831","$47,275,156",9.3%,"$3,402,122",Colorado
May 2025,"$495,332,856","$49,043,013",9.9%,"$3,587,198",Colorado
June 2025,"$372,493,465","$39,848,630",10.7%,"$3,079,722",Colorado
July 2025,"$352,309,841","$35,533,248",10.1%,"$2,715,532",Colorado
Total,"$25,462,689,771","$1,861,198,633",7.3%,"$116,504,582",Colorado
October 2021,"$54,641,474","$5,567,547",10.2%,"$512,951",Connecticut
November 2021,"$131,729,179","$17,456,823",13.3%,"$1,712,136",Connecticut
December 2021,"$150,073,755","$10,242,899",6.8%,"$929,336",Connecticut
January 2022,"$158,092,481","$11,891,808",7.5%,"$1,142,510",Connecticut
February 2022,"$115,619,953","$5,844,220",5.1%,"$501,516",Connecticut
March 2022,"$140,747,137","$11,511,388",8.2%,"$1,037,570",Connecticut
April 2022,"$116,465,199","$10,353,842",8.9%,"$988,263",Connecticut
May 2022,"$115,180,155","$10,308,064",8.9%,"$981,304",Connecticut
June 2022,"$95,421,852","$7,142,610",7.5%,"$669,453",Connecticut
July 2022,"$78,316,775","$8,611,816",11.0%,"$859,094",Connecticut
August 2022,"$80,037,045","$10,882,317",13.6%,"$1,153,125",Connecticut
September 2022,"$130,547,719","$17,608,762",13.5%,"$1,777,391",Connecticut
October 2022,"$164,170,106","$17,012,667",10.4%,"$1,736,473",Connecticut
November 2022,"$165,026,282","$17,869,847",10.8%,"$1,942,387",Connecticut
December 2022,"$160,266,050","$16,268,906",10.2%,"$1,736,006",Connecticut
January 2023,"$167,673,044","$19,610,098",11.7%,"$1,919,290",Connecticut
February 2023,"$136,508,300","$11,626,147",8.5%,"$1,175,694",Connecticut
March 2023,"$159,997,579","$17,029,646",10.6%,"$1,855,821",Connecticut
April 2023,"$126,683,869","$13,610,074",10.7%,"$1,458,730",Connecticut
May 2023,"$109,421,369","$15,271,178",14.0%,"$1,645,394",Connecticut
June 2023,"$91,414,677","$9,752,058",10.7%,"$961,577",Connecticut
July 2023,"$91,512,897","$11,126,316",12.2%,"$1,215,313",Connecticut
August 2023,"$91,316,807","$9,797,155",10.7%,"$1,027,171",Connecticut
September 2023,"$180,954,956","$18,900,892",10.4%,"$2,048,710",Connecticut
October 2023,"$189,626,160","$19,849,187",10.5%,"$2,243,142",Connecticut
November 2023,"$205,736,989","$12,862,839",6.3%,"$1,416,233",Connecticut
December 2023,"$212,171,045","$22,813,764",10.8%,"$2,569,806",Connecticut
January 2024,"$202,752,249","$25,570,170",12.6%,"$2,864,562",Connecticut
February 2024,"$162,841,632","$14,820,348",9.1%,"$1,598,679",Connecticut
March 2024,"$187,815,980","$16,981,438",9.0%,"$1,892,701",Connecticut
April 2024,"$154,109,876","$19,105,482",12.4%,"$2,133,325",Connecticut
May 2024,"$163,648,829","$17,941,322",11.0%,"$1,973,947",Connecticut
June 2024,"$148,557,056","$15,626,345",10.5%,"$1,695,681",Connecticut
July 2024,"$121,808,571","$15,853,217",13.0%,"$1,748,461",Connecticut
August 2024,"$129,150,001","$14,514,077",11.2%,"$1,577,559",Connecticut
September 2024,"$214,394,512","$27,018,896",12.6%,"$3,072,543",Connecticut
October 2024,"$229,151,493","$19,101,389",8.3%,"$2,113,436",Connecticut
November 2024,"$228,155,465","$30,693,791",13.5%,"$3,509,155",Connecticut
December 2024,"$243,670,782","$14,773,557",6.1%,"$1,622,646",Connecticut
January 2025,"$229,341,717","$27,646,389",12.1%,"$3,095,758",Connecticut
February 2025,"$169,389,080","$20,788,142",12.3%,"$2,346,734",Connecticut
March 2025,"$207,660,971","$16,887,263",8.1%,"$1,873,342",Connecticut
April 2025,"$181,821,330","$19,320,106",10.6%,"$2,132,126",Connecticut
May 2025,"$183,947,658","$23,194,744",12.6%,"$2,580,944",Connecticut
June 2025,"$140,533,729","$18,387,003",13.1%,"$2,063,288",Connecticut
July 2025,"$123,505,445","$16,404,168",13.3%,"$1,832,016",Connecticut
Total,"$7,041,609,230","$735,450,717",10.4%,"$78,943,299",Connecticut
June 2018,"$7,003,725","$1,000,247",14.3%,"$196,323",Delaware
July 2018,"$8,214,765","$527,115",6.4%,"$275,671",Delaware
August 2018,"$8,018,354","$983,052",12.3%,"$538,543",Delaware
September 2018,"$23,257,965","$7,807,511",33.6%,"$4,703,849",Delaware
October 2018,"$21,231,427","$2,565,957",12.1%,"$1,460,148",Delaware
November 2018,"$24,206,090","$2,505,848",10.4%,"$1,155,765",Delaware
December 2018,"$23,419,539","$5,810,007",24.8%,"$3,407,848",Delaware
January 2019,"$14,130,069","$2,687,370",19.0%,"$1,516,520",Delaware
February 2019,"$8,709,205","-$616,941",-7.1%,"-$483,414",Delaware
March 2019,"$10,483,128","$1,879,045",17.9%,"$982,447",Delaware
April 2019,"$6,088,183","$703,739",11.6%,"$367,524",Delaware
May 2019,"$5,920,766","$464,335",7.8%,"$242,081",Delaware
June 2019,"$6,325,464","$533,377",8.4%,"$278,491",Delaware
July 2019,"$3,920,974","$579,897",14.8%,"$303,225",Delaware
August 2019,"$4,745,747","$586,057",12.3%,"$290,170",Delaware
September 2019,"$18,781,406","$5,979,895",31.8%,"$3,558,378",Delaware
October 2019,"$16,066,023","$4,640,776",28.9%,"$2,691,088",Delaware
November 2019,"$16,850,854","$4,235,148",25.1%,"$2,463,260",Delaware
December 2019,"$20,466,561","$4,174,862",20.4%,"$2,324,290",Delaware
January 2020,"$11,187,011","$2,527,312",22.6%,"$1,386,819",Delaware
February 2020,"$7,279,650","-$410,665",-5.6%,"-$367,301",Delaware
March 2020,"$3,877,068","$653,127",16.8%,"$340,952",Delaware
April 2020,$0,$0,,-$104,Delaware
May 2020,$0,$0,,-$15,Delaware
June 2020,$0,$0,,-$33,Delaware
July 2020,"$209,282","$13,845",6.6%,"$7,040",Delaware
August 2020,"$2,957,634","$419,561",14.2%,"$220,175",Delaware
September 2020,"$12,439,302","$2,803,022",22.5%,"$1,596,046",Delaware
October 2020,"$17,086,034","$4,945,186",28.9%,"$2,877,725",Delaware
November 2020,"$19,510,093","$8,162,861",41.8%,"$5,018,419",Delaware
December 2020,"$15,696,681","$4,408,081",28.1%,"$2,645,802",Delaware
January 2021,"$15,649,254","$3,288,405",21.0%,"$1,798,838",Delaware
February 2021,"$7,519,710","$679,021",9.0%,"$313,006",Delaware
March 2021,"$6,666,115","$1,104,859",16.6%,"$577,524",Delaware
April 2021,"$5,470,520","$1,023,199",18.7%,"$534,814",Delaware
May 2021,"$7,060,911","$775,611",11.0%,"$404,929",Delaware
June 2021,"$5,958,137","$737,984",12.4%,"$385,357",Delaware
July 2021,"$4,110,581","$724,765",17.6%,"$378,599",Delaware
August 2021,"$5,251,471","$541,621",10.3%,"$269,110",Delaware
September 2021,"$13,702,755","$4,420,661",32.3%,"$2,658,149",Delaware
October 2021,"$22,238,321","$4,635,199",20.8%,"$2,625,850",Delaware
November 2021,"$13,383,727","$6,226,325",46.5%,"$3,843,342",Delaware
December 2021,"$12,638,955","-$972,383",-7.7%,"-$1,088,521",Delaware
January 2022,"$12,637,103","$2,716,347",21.5%,"$1,989,974",Delaware
February 2022,"$5,436,407","$74,297",1.4%,"$15,012",Delaware
March 2022,"$5,157,583","$631,099",12.2%,"$331,496",Delaware
April 2022,"$4,200,298","$358,171",8.5%,"$188,322",Delaware
May 2022,"$5,127,275","$565,508",11.0%,"$296,948",Delaware
June 2022,"$3,507,846","$242,316",6.9%,"$127,482",Delaware
July 2022,"$2,678,686","$438,069",16.4%,"$229,305",Delaware
August 2022,"$2,902,652","$399,945",13.8%,"$226,701",Delaware
September 2022,"$8,908,981","$2,915,961",32.7%,"$2,419,632",Delaware
October 2022,"$13,545,163","$2,597,717",19.2%,"$2,084,703",Delaware
November 2022,"$10,172,819","$1,622,874",16.0%,"$1,270,575",Delaware
December 2022,"$8,157,580","$1,428,195",17.5%,"$1,196,569",Delaware
January 2023,"$8,457,660","$1,714,167",20.3%,"$1,441,653",Delaware
February 2023,"$4,120,957","$347,890",8.4%,"$190,355",Delaware
March 2023,"$3,491,183","$622,285",17.8%,"$325,556",Delaware
April 2023,"$3,450,142","$757,951",22.0%,"$239,884",Delaware
May 2023,"$2,760,829","$276,116",10.0%,"$159,433",Delaware
June 2023,"$3,128,258","$80,201",2.6%,"$45,282",Delaware
July 2023,"$2,256,345","$311,152",13.8%,"$203,984",Delaware
August 2023,"$2,400,532","$340,209",14.2%,"$229,649",Delaware
September 2023,"$7,633,259","$991,828",13.0%,"$865,047",Delaware
October 2023,"$10,663,362","$2,706,248",25.4%,"$2,368,232",Delaware
November 2023,"$8,126,283","$600,906",7.4%,"$509,072",Delaware
December 2023,"$8,837,999","$2,147,792",24.3%,"$1,859,356",Delaware
January 2024,"$17,085,199","$1,957,473",11.5%,"$1,306,854",Delaware
February 2024,"$13,763,241","$659,017",4.8%,"$283,002",Delaware
March 2024,"$18,935,525","$1,168,825",6.2%,"$639,169",Delaware
April 2024,"$15,522,996","$1,147,601",7.4%,"$641,491",Delaware
May 2024,"$15,107,592","$1,201,087",8.0%,"$644,012",Delaware
June 2024,"$13,058,698","$906,777",6.9%,"$502,258",Delaware
July 2024,"$9,927,116","$1,214,849",12.2%,"$679,409",Delaware
August 2024,"$10,259,279","$797,507",7.8%,"$433,720",Delaware
September 2024,"$23,242,735","$3,232,416",13.9%,"$2,213,505",Delaware
October 2024,"$24,502,521","$1,034,657",4.2%,"$433,781",Delaware
November 2024,"$26,390,185","$2,935,614",11.1%,"$1,948,890",Delaware
December 2024,"$28,445,372","$116,593",0.4%,"-$171,708",Delaware
January 2025,"$23,805,707","$1,944,581",8.2%,"$1,113,892",Delaware
February 2025,"$18,056,720","$726,313",4.0%,"$365,328",Delaware
March 2025,"$21,585,890","$1,033,146",4.8%,"$574,475",Delaware
April 2025,"$18,213,653","$1,386,298",7.6%,"$754,006",Delaware
May 2025,"$17,460,383","$1,308,127",7.5%,"$705,948",Delaware
June 2025,"$14,421,282","$1,626,048",11.3%,"$889,872",Delaware
July 2025,"$13,223,247","$1,288,319",9.7%,"$715,716",Delaware
August 2025,"$15,605,825","$1,029,364",6.6%,"$555,072",Delaware
Total,"$964,105,825","$145,356,752",15.1%,"$86,741,643",Delaware
May 2020,"$9,723",-$240,-2.5%,-$138,District of Columbia
June 2020,"$223,730","$36,985",16.5%,"$21,267",District of Columbia
July 2020,"$743,330","$144,019",19.4%,"$81,985",District of Columbia
August 2020,"$11,262,442","$1,703,416",15.1%,"$302,459",District of Columbia
September 2020,"$15,455,160","$1,804,299",11.7%,"$417,406",District of Columbia
October 2020,"$18,491,984","$3,484,946",18.8%,"$712,904",District of Columbia
November 2020,"$17,600,534","$3,611,200",20.5%,"$780,392",District of Columbia
December 2020,"$16,696,995","$2,708,653",16.2%,"$654,293",District of Columbia
January 2021,"$15,746,168","$2,805,493",17.8%,"$714,407",District of Columbia
February 2021,"$15,303,079","$1,333,019",8.7%,"$418,447",District of Columbia
March 2021,"$15,275,215","$1,867,034",12.2%,"$526,444",District of Columbia
April 2021,"$10,746,937","$2,087,240",19.4%,"$463,216",District of Columbia
May 2021,"$13,772,411","$2,008,091",14.6%,"$503,584",District of Columbia
June 2021,"$19,518,408","$2,191,486",11.2%,"$465,194",District of Columbia
July 2021,"$12,808,239","$1,801,748",14.1%,"$385,720",District of Columbia
August 2021,"$12,445,312","$1,492,901",12.0%,"$294,946",District of Columbia
September 2021,"$20,706,483","$3,883,674",18.8%,"$671,465",District of Columbia
October 2021,"$26,332,228","$1,570,660",6.0%,"$460,630",District of Columbia
November 2021,"$21,419,454","$4,434,922",20.7%,"$954,592",District of Columbia
December 2021,"$19,220,227","$1,398,706",7.3%,"$456,087",District of Columbia
January 2022,"$18,627,789","$1,962,256",10.5%,"$648,862",District of Columbia
February 2022,"$19,072,856","$740,542",3.9%,"$283,248",District of Columbia
March 2022,"$20,432,718","$1,365,996",6.7%,"$379,705",District of Columbia
April 2022,"$18,379,904","$1,431,275",7.8%,"$429,384",District of Columbia
May 2022,"$17,234,140","$2,016,709",11.7%,"$545,785",District of Columbia
June 2022,"$13,760,754","$999,645",7.3%,"$311,166",District of Columbia
July 2022,"$11,346,178","$1,166,210",10.3%,"$333,989",District of Columbia
August 2022,"$13,147,645","$1,832,685",13.9%,"$448,312",District of Columbia
September 2022,"$19,361,047","$3,530,497",18.2%,"$847,067",District of Columbia
October 2022,"$24,801,500","$3,111,718",12.5%,"$709,273",District of Columbia
November 2022,"$21,401,682","$2,641,693",12.3%,"$664,840",District of Columbia
December 2022,"$18,665,909","$2,410,628",12.9%,"$619,230",District of Columbia
January 2023,"$20,115,254","$1,494,441",7.4%,"$561,314",District of Columbia
February 2023,"$14,634,828","$1,193,982",8.2%,"$424,025",District of Columbia
March 2023,"$18,091,768","$2,275,690",12.6%,"$636,507",District of Columbia
April 2023,"$14,052,054","$1,418,907",10.1%,"$486,723",District of Columbia
May 2023,"$12,532,899","$2,024,803",16.2%,"$540,339",District of Columbia
June 2023,"$11,150,333","$484,844",4.3%,"$120,020",District of Columbia
July 2023,"$7,722,843","$1,409,549",18.3%,"$363,715",District of Columbia
August 2023,"$8,111,021","$1,048,451",12.9%,"$304,768",District of Columbia
September 2023,"$14,480,473","$1,934,261",13.4%,"$476,272",District of Columbia
October 2023,"$16,435,889","$2,001,445",12.2%,"$516,918",District of Columbia
November 2023,"$17,128,831","$1,227,995",7.2%,"$345,792",District of Columbia
December 2023,"$15,315,497","$2,533,959",16.5%,"$651,735",District of Columbia
January 2024,"$15,957,167","$1,933,439",12.1%,"$521,114",District of Columbia
February 2024,"$11,977,394","$1,219,280",10.2%,"$313,660",District of Columbia
March 2024,"$15,742,055","$1,366,515",8.7%,"$323,907",District of Columbia
April 2024,"$26,649,703","$3,529,186",13.2%,"$1,392,454",District of Columbia
May 2024,"$35,444,990","$5,440,639",15.3%,"$2,943,299",District of Columbia
June 2024,"$29,627,133","$3,993,069",13.5%,"$2,172,561",District of Columbia
July 2024,"$27,347,852","$3,893,780",14.2%,"$1,253,034",District of Columbia
August 2024,"$40,583,711","$4,542,229",11.2%,"$1,050,503",District of Columbia
September 2024,"$58,817,348","$8,187,522",13.9%,"$1,926,237",District of Columbia
October 2024,"$65,834,192","$6,566,154",10.0%,"$1,466,332",District of Columbia
November 2024,"$68,272,811","$9,029,019",13.2%,"$2,056,657",District of Columbia
December 2024,"$65,333,157","$4,035,336",6.2%,"$899,740",District of Columbia
January 2025,"$73,096,228","$9,295,356",12.7%,"$2,090,104",District of Columbia
